PlotID,Overstory Species,SPHA,BLIT,ASMA,MOSS,LEGR,CHCA,GRAS,SEDG,SMTR,PTAQ,COCA,VAAN,GAHI,ARNU,LYOB,PIMA,RUBU,VAOX,ACSP,COCO,ACRU,TRBO,MACA,CLBO,STRO,FUNG,DILO,ERIO,GATR,Labels
73,Spruce,0,34,21,5,0,0,4,0,0,1,3,1,0,6,4,0,2,0,4,2,4,4,4,2,4,0,1,0,4,
74,Spruce,0,24,4,2,0,0,5,0,0,3,4,1,0,7,3,0,4,0,4,5,2,4,3,2,4,0,2,0,1,
75,Spruce,0,20,14,6,0,0,6,1,0,0,4,1,0,4,0,0,5,0,7,2,5,5,5,2,4,0,2,0,2,
77,Spruce,0,46,2,7,0,0,2,1,0,0,4,0,0,4,2,0,3,0,4,0,2,4,3,5,3,0,0,0,2,
79,Spruce,0,14,14,7,0,0,3,1,0,7,8,2,0,14,2,0,7,0,9,1,3,5,3,3,5,0,8,0,4,
80,Spruce,0,6,18,2,0,0,5,0,0,2,0,0,0,7,0,0,6,0,2,1,2,2,2,1,1,1,3,0,4,
81,Spruce,0,32,31,5,0,0,4,0,0,0,0,0,0,6,0,0,0,0,8,0,3,0,4,0,2,0,2,0,3,
82,Spruce,0,18,48,6,0,0,5,0,0,1,2,0,0,8,0,0,4,0,12,0,1,2,3,1,3,0,3,0,4,
83,Spruce,0,24,22,6,0,0,5,1,0,2,0,0,0,6,0,0,5,0,3,2,4,1,3,0,4,0,3,0,4,
84,Spruce,0,22,23,4,0,0,1,1,0,20,1,3,0,8,3,0,0,0,1,1,5,3,2,0,1,1,0,0,0,
85,Spruce,0,24,30,11,0,0,4,0,0,7,2,5,0,0,4,0,0,0,2,0,4,4,0,1,0,1,1,0,0,
86,Spruce,2,22,10,4,0,0,5,0,0,4,6,5,0,0,4,0,4,0,0,2,0,0,0,0,0,1,1,0,0,
87,Spruce,0,30,7,5,0,0,3,0,0,0,0,0,0,0,3,0,1,0,0,3,0,2,0,2,0,3,1,0,0,
88,Spruce,0,42,12,4,0,0,2,1,0,0,4,2,0,4,6,0,2,0,1,3,2,3,2,4,1,3,1,0,0,
89,Spruce,0,24,3,17,0,0,1,0,0,0,8,3,0,0,6,0,1,0,1,1,1,0,0,4,0,1,2,0,0,
90,Spruce,0,24,13,6,0,0,5,1,0,0,4,2,0,0,6,0,1,0,0,3,5,2,0,2,0,2,0,0,0,
92,Spruce,0,32,10,3,0,0,5,0,0,1,4,0,0,5,8,0,1,0,2,7,1,4,4,6,5,0,1,0,0,
93,Spruce,0,26,12,1,0,0,4,0,0,3,3,2,0,3,6,0,3,0,4,6,2,4,4,4,5,1,1,0,4,
94,Spruce,0,10,36,0,1,0,4,0,0,4,4,0,0,6,5,0,3,0,0,5,1,0,0,1,1,0,1,0,1,
95,Spruce,0,16,26,2,1,0,7,0,0,3,3,6,0,2,0,0,8,0,0,9,0,1,1,0,0,0,1,0,2,
96,Spruce,0,31,17,3,0,0,4,1,0,6,8,2,0,2,3,0,4,0,1,1,6,5,6,1,1,0,2,0,2,
97,Spruce,0,11,36,2,0,0,3,2,0,18,4,1,0,2,3,0,3,0,0,1,3,2,5,2,2,0,8,0,1,
98,Spruce,0,14,38,3,0,0,3,0,0,7,0,2,0,0,6,0,2,0,0,3,0,2,3,0,1,0,1,0,1,
99,Spruce,0,42,20,4,0,0,5,1,0,9,4,5,0,0,1,0,5,0,0,3,0,0,0,0,1,0,1,0,0,
100,Aspen,60,17,0,10,0,0,0,20,2,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,
101,Spruce,36,35,0,10,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,
102,Aspen,50,8,0,10,8,4,6,6,2,0,0,0,4,0,0,3,0,4,0,0,0,0,0,0,0,3,0,0,0,
103,Aspen,60,2,0,9,10,15,0,26,1,0,0,0,1,0,0,8,0,5,0,0,0,0,0,0,0,3,0,0,0,
105,Aspen,70,9,0,16,6,0,2,11,3,0,0,0,3,0,0,3,0,5,0,0,0,0,0,0,0,5,0,0,0,
